label_cluster_id,label_type,street_edge_id,osm_way_id,region_id,region_name,avg_image_capture_date,avg_label_date,median_severity,agree_count,disagree_count,unsure_count,cluster_size,users,avg_latitude,avg_longitude
17744,CurbRamp,9656,563718730,3,UV 3,2025-05-16T12:00Z,2025-10-06T22:46:44.564500Z,1,2,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.165005,-70.745328
17745,CurbRamp,11378,777416631,3,UV 3,2025-03-01T00:00Z,2025-10-14T01:30:54.387Z,2,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16834,-70.74612
17746,CurbRamp,4021,111707242,3,UV 3,2025-03-01T00:00Z,2025-09-05T16:45:02.318500Z,1,3,0,0,2,[549187e0-82c9-4014-a48d-31f18083d575],-34.1733495,-70.750855
17747,CurbRamp,13265,1381260558,3,UV 3,2025-06-01T00:00Z,2025-09-05T16:48:20.110Z,2,1,1,0,1,[549187e0-82c9-4014-a48d-31f18083d575],-34.173065,-70.75305
17748,CurbRamp,11378,777416631,3,UV 3,2025-03-01T00:00Z,2025-10-14T01:30:33.265Z,1,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.16844,-70.746124
17749,CurbRamp,8634,476428226,3,UV 3,2025-06-01T00:00Z,2025-10-24T15:51:39.576Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.171707,-70.74684
17750,CurbRamp,9656,563718730,3,UV 3,2025-05-16T12:00Z,2025-10-06T22:46:33.773Z,2,3,0,0,2,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.164982,-70.745397
17751,CurbRamp,11378,777416631,3,UV 3,2025-03-01T00:00Z,2025-10-14T01:30:40.212Z,2,0,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.168423,-70.74613
17752,CurbRamp,13265,1381260558,3,UV 3,2025-05-16T12:00Z,2025-09-05T16:48:35.400500Z,1,4,0,0,2,[549187e0-82c9-4014-a48d-31f18083d575],-34.1730805,-70.752965
17753,CurbRamp,2402,68168445,3,UV 3,2025-03-01T00:00Z,2025-09-05T16:46:04.704Z,1,1,1,0,1,[549187e0-82c9-4014-a48d-31f18083d575],-34.173096,-70.75248
17754,CurbRamp,4021,111707242,3,UV 3,2025-03-01T00:00Z,2025-09-05T16:44:49.966500Z,2,3,0,0,2,[549187e0-82c9-4014-a48d-31f18083d575],-34.1733515,-70.750905
17755,CurbRamp,7429,176239179,3,UV 3,2025-03-01T00:00Z,2025-09-05T16:41:28.272Z,2,2,0,0,1,[549187e0-82c9-4014-a48d-31f18083d575],-34.173256,-70.75174
17756,CurbRamp,219,35073152,3,UV 3,2025-06-01T00:00Z,2025-10-24T16:09:53.500Z,1,1,0,0,1,[e3849ac5-c5f5-4df4-ae85-5a09c753f458],-34.17188,-70.74671
